id,room_type,n_beds,n_baths,is_bath_shared,bnb_house
340,1 bedroom,1,1,False,235960
341,1 bedroom,1,1,False,286838
342,1 bedroom,1,1,False,236671
343,1 bedroom,1,1,False,287408
344,1 bedroom,1,1.5,False,238683
345,2 bedrooms,2,1,False,287845
346,1 bedroom,1,1,False,239733
347,1 bedroom,1,0.5,False,288726
348,1 bedroom,1,1,False,289703
349,1 bedroom,1,1,False,289020
350,1 bedroom,1,1,False,292121
351,1 bedroom,1,1.5,False,292324
352,1 bedroom,1,1,False,289665
353,1 bedroom,1,1,False,292637
354,1 bedroom,1,,False,413504
355,1 bedroom,1,1,False,292800
356,1 bedroom,1,1,False,415304
357,1 bedroom,1,1,False,294227
358,1 bedroom,1,1,False,416557
359,1 bedroom,1,1,False,294242
360,2 bedrooms,2,1,False,417685
361,1 bedroom,1,1,False,294250
362,1 bedroom,1,1,False,418568
363,1 bedroom,1,,True,423015
364,1 bedroom,1,1,False,294259
365,1 bedroom,1,1,False,423275
366,1 bedroom,1,1,False,430427
367,1 bedroom,1,1,False,430665
368,1 bedroom,1,1,False,294263
369,2 bedrooms,2,,False,431865
370,1 bedroom,1,1,False,294280
371,1 bedroom,1,,True,432090
372,1 bedroom,1,,True,295231
373,Studio,1,1,False,432823
374,1 bedroom,1,1,False,295998
375,1 bedroom,1,1,False,433218
376,1 bedroom,1,0.5,True,296361
377,1 bedroom,1,1,False,433414
378,1 bedroom,1,1,False,296717
379,2 bedrooms,2,,True,298759
380,1 bedroom,1,1,False,433914
381,1 bedroom,1,,True,299062
382,2 bedrooms,2,,True,301372
383,2 bedrooms,2,1,False,437352
384,2 bedrooms,2,1,False,302238
385,1 bedroom,1,2,False,437906
386,1 bedroom,1,1,False,302280
387,2 bedrooms,2,1,False,302309
388,1 bedroom,1,,True,439750
389,1 bedroom,1,1,False,302705
390,4 bedrooms,4,2,False,439870
391,1 bedroom,1,1,False,302758
392,2 bedrooms,2,1,False,303264
393,1 bedroom,1,1,False,442636
394,2 bedrooms,2,1,False,305211
395,1 bedroom,1,1,False,442649
396,2 bedrooms,2,1,False,305245
397,1 bedroom,1,3,False,443646
398,1 bedroom,1,,False,306799
399,1 bedroom,1,1,False,444430
400,1 bedroom,1,0,False,310325
401,1 bedroom,1,1,False,310338
402,1 bedroom,1,1,False,447766
403,1 bedroom,1,,True,310524
404,1 bedroom,1,,True,448049
405,2 bedrooms,2,,False,311316
406,1 bedroom,1,,True,449660
407,2 bedrooms,2,,False,311356
408,1 bedroom,1,,False,312415
409,1 bedroom,1,1,False,450577
410,1 bedroom,1,,True,314982
411,4 bedrooms,4,2,False,452068
412,1 bedroom,1,,True,318021
413,1 bedroom,1,1,False,452541
414,2 bedrooms,2,1,False,319646
415,1 bedroom,1,,False,453094
416,2 bedrooms,2,1,False,320877
417,2 bedrooms,2,1,False,453255
418,2 bedrooms,2,1.5,False,321014
419,1 bedroom,1,,True,453317
420,Studio,1,1,False,321136
421,1 bedroom,1,1,False,322037
422,1 bedroom,1,1,False,454334
423,1 bedroom,1,1,False,324800
424,2 bedrooms,2,1,False,454763
425,1 bedroom,1,1,False,325429
426,1 bedroom,1,1,False,455734
427,1 bedroom,1,1,False,326832
428,1 bedroom,1,1,False,456110
429,2 bedrooms,2,2,False,328040
430,1 bedroom,1,1,False,456190
431,2 bedrooms,2,1,False,328744
432,2 bedrooms,2,1,False,456457
433,1 bedroom,1,1,False,329310
434,2 bedrooms,2,,True,332208
435,1 bedroom,1,,True,456578
436,1 bedroom,1,1,False,333323
437,1 bedroom,1,1,False,457829
438,2 bedrooms,2,1,False,334607
439,1 bedroom,1,,False,342995
440,1 bedroom,1,1,False,459066
441,2 bedrooms,2,1,False,460999
442,1 bedroom,1,,True,343276
443,1 bedroom,1,1,False,343766
444,1 bedroom,1,1,False,463042
445,1 bedroom,1,,True,464231
446,1 bedroom,1,1,False,344092
447,1 bedroom,1,1,False,465706
448,1 bedroom,1,1,False,346579
449,2 bedrooms,2,1,False,466277
450,2 bedrooms,2,1,False,350168
451,2 bedrooms,2,1,False,466457
452,1 bedroom,1,1,False,467569
453,1 bedroom,1,1,False,351859
454,1 bedroom,1,,True,467634
455,1 bedroom,1,,True,352651
456,1 bedroom,1,,True,467866
