,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
3804,70555,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2379,29,,A5,"425 TRAVIS AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2280.0,1376.0,1975.0,1,A5,620000,2023-05-03,"40.5897595,-74.15600529999999"
3805,70556,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2379,57,,A5,"214 MCVEIGH AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2280.0,1056.0,1975.0,1,A5,0,2023-10-24,"40.59013059999999,-74.1560283"
3806,70557,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2379,68,,A5,"186 MCVEIGH AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2280.0,1056.0,1975.0,1,A5,720000,2023-02-02,"40.5897622,-74.1553739"
3807,70558,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2381,10,,A5,"239 STEINWAY AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2525.0,1472.0,1986.0,1,A5,355000,2023-08-23,"40.5913275,-74.1629088"
3808,70559,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2381,11,,A5,"237 STEINWAY AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2525.0,1472.0,1986.0,1,A5,355000,2023-08-23,"40.5913791,-74.162863"
3809,70560,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2382,3,,A5,"117 RADFORD STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2345.0,1200.0,1995.0,1,A5,730000,2023-10-06,"40.5906177,-74.1625419"
3810,70561,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2382,97,,A1,"106 SHILOH STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4200.0,2204.0,1970.0,1,A1,775000,2023-10-27,"40.5897843,-74.1612231"
3811,70562,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2383,48,,A1,"71 SHILOH STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4620.0,2188.0,1970.0,1,A1,0,2022-12-08,"40.590061,-74.16264509999999"
3812,70563,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2384,10,,A5,"215 MERRY MOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3040.0,1360.0,1970.0,1,A5,690000,2023-05-23,"40.5885083,-74.1604777"
3813,70564,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2384,15,,A5,"203 MERRYMOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3040.0,1360.0,1970.0,1,A5,740000,2023-08-15,"40.5887473,-74.16024809999999"
