,id,name,availability_rate_365,rate,number_of_reviews,latitude,longitude,host
214,253471,Rental unit in Brooklyn,0.94,4.79,30,40.73756,-73.9535,417504
215,170761, NY,0.35,4.91,186,40.68877615321917,-73.97762359693657,67778
216,253475,Rental unit in Brooklyn,0.94,4.85,87,40.73756,-73.9535,417504
217,253590,Rental unit in New York,0.47,4.77,22,40.79846,-73.96512,1331850
218,171562,Condo in New York,0.31,4.90,32,40.74937,-73.99467,60923
219,173151,Rental unit in Brooklyn,0.13,4.81,261,40.72852,-73.95655,826459
220,253800,Rental unit in Brooklyn,0.94,4.77,35,40.73756,-73.9535,417504
221,253803,Rental unit in Brooklyn,0.93,4.91,36,40.73756,-73.9535,417504
222,174966,Condo in New York,1.0,4.96,25,40.7751,-73.98595,836168
223,253806,Rental unit in Brooklyn,0.97,4.81,49,40.73756,-73.9535,417504
224,253811,Rental unit in Brooklyn,0.97,4.78,70,40.73756,-73.9535,417504
225,253815,Rental unit in Brooklyn,0.97,4.83,81,40.73756,-73.9535,417504
226,253828,Boutique hotel in Brooklyn,0.0,5.0,12,40.73756,-73.9535,417504
227,175470,Rental unit in New York,1.0,0.00,2,40.80244,-73.96541,838704
228,253839,Boutique hotel in Brooklyn,0.0,4.88,8,40.73756,-73.9535,417504
229,176135,Rental unit in Brooklyn,0.11,4.68,31,40.67545,-73.96096,842125
230,253842,Boutique hotel in Brooklyn,0.0,4.92,13,40.73756,-73.9535,417504
231,253846,Boutique hotel in Brooklyn,0.96,4.74,31,40.73756,-73.9535,417504
232,177495,Condo in New York,0.0,5.0,5,40.74088,-73.99538,848960
233,254168,Boutique hotel in Brooklyn,0.0,5.0,5,40.73756,-73.9535,417504
234,254409,Rental unit in Brooklyn,0.0,0.00,2,40.68136,-73.9654,1336542
235,177606,Condo in New York,0.93,4.78,126,40.74045,-73.9749,849492
236,179741,Rental unit in New York,0.66,4.95,19,40.72212,-73.99638,314941
237,182069,Rental unit in New York,0.95,4.77,122,40.78923,-73.946,39260
238,182177,Guest suite in Bronx,0.98,4.68,345,40.86502,-73.85496,873273
239,255476,Condo in Brooklyn,0.25,4.93,45,40.71134819720268,-73.95338679325236,1302029
240,255601,Guest suite in Brooklyn,0.74,4.58,248,40.69101,-73.95018,1343630
241,187986,Rental unit in New York,0.0,0.00,2,40.73862,-73.99758,904833
242,255957,Condo in New York,0.91,4.95,25,40.72032,-73.99462,506779
243,188674,Rental unit in New York,0.0,4.87,63,40.73345,-73.98809,909234
244,188803, NY,0.0,4.96,45,40.6879299,-73.97646399999999,67778
245,257097,Rental unit in Brooklyn,0.99,4.87,39,40.68278,-73.95549,315401
246,189181,Condo in New York,0.0,0.00,1,40.74907,-74.00281,912541
247,258688,Rental unit in New York,0.0,4.74,55,40.74024,-74.00584,436599
248,189732,Home in Brooklyn,0.97,4.80,309,40.67346,-73.87263,489400
249,258690,Rental unit in New York,0.0,5.0,9,40.74642,-74.00411,1359611
250,258740,Rental unit in New York,0.0,4.85,143,40.81847,-73.94623,1360043
251,189787,Rental unit in Brooklyn,0.0,4.64,102,40.66941,-73.94988,915640
252,258930,Rental unit in New York,0.0,4.67,4,40.71517,-73.99376,32613
253,190968,Rental unit in Brooklyn,0.0,4.77,35,40.67914,-73.96443,922922
254,260755,Loft in New York,0.25,4.73,35,40.71704,-74.00908,1366070
255,190974,Rental unit in Brooklyn,0.83,4.70,312,40.66836,-73.98166,874471
256,261674,Rental unit in New York,0.0,4.95,19,40.74101,-74.00006,1372786
257,261781,Rental unit in New York,0.0,4.75,8,40.73221,-74.00448,1359519
258,195123,Rental unit in New York,1.0,4.60,229,40.83338,-73.94326,940724
259,195240,Rental unit in Brooklyn,0.24,4.66,90,40.65468,-73.95721,949221
260,262405,Townhouse in Brooklyn,0.0,4.59,75,40.6446,-73.94184,1376778
261,262478,Rental unit in New York,0.0,4.91,11,40.71881,-73.9879,535128
262,197942,Townhouse in Brooklyn,0.94,4.81,254,40.6836,-73.95445,289135
263,262583,Rental unit in New York,0.68,4.45,269,40.73219,-74.00289,605463
264,198478,Rental unit in New York,0.32,4.83,41,40.7794,-73.95096,968805
265,263005,Rental unit in Brooklyn,0.13,4.67,129,40.6974983215332,-73.97722625732422,1380060
266,199733,Townhouse in Brooklyn,0.8,4.53,130,40.67635,-73.96108,241559
267,263232,Rental unit in New York,0.16,0.00,0,40.82176,-73.94522,1381171
268,201514,Rental unit in New York,0.0,0.00,0,40.82553,-73.94511,985846
269,263502,Rental unit in Brooklyn,1.0,4.96,23,40.71838,-73.95617,1382749
270,201992,Rental unit in Brooklyn,0.98,4.84,106,40.67466,-73.97853,988350
271,263888,Condo in New York,0.1,4.99,242,40.79632,-73.97643,1384559
272,202273,Rental unit in Brooklyn,0.0,4.41,70,40.68702,-73.94917,918087
273,265145,Rental unit in New York,0.0,4.88,8,40.76253,-73.98365,1390947
274,203901,Rental unit in New York,0.0,5.0,8,40.76922,-73.95648,1000477
275,265506,Rental unit in New York,0.0,4.89,11,40.7628,-73.9651,1392440
276,204065,Home in Brooklyn,0.99,4.60,112,40.687,-73.96149,51038
277,266449,Rental unit in New York,0.85,4.59,78,40.719482,-73.98877,1397115
278,266753,Rental unit in New York,0.5,4.23,90,40.71941,-73.98968,519554
279,205867,Rental unit in Brooklyn,0.61,4.76,147,40.72002,-73.94238,1012691
280,206316,Rental unit in Brooklyn,0.0,4.75,4,40.6878,-73.97253,1014639
281,267435,Rental unit in Queens,0.0,4.96,25,40.73333,-73.85933,1402454
282,206957,Houseboat in Brooklyn,0.24,4.61,126,40.5847,-73.94088,1018472
283,267652,Rental unit in Brooklyn,0.43,4.96,54,40.64295,-73.97293,164675
284,208148,Rental unit in Brooklyn,0.0,4.82,14,40.71955,-73.95471,1024355
285,268335,Condo in Brooklyn,1.0,0.00,1,40.72136,-73.95674,65610
286,208889,Rental unit in Brooklyn,0.67,4.58,63,40.69049,-73.93212,1029021
287,268439,Rental unit in Brooklyn,0.86,4.53,47,40.70727,-73.94187,1407104
288,209310,Condo in Queens,0.72,4.90,303,40.73877,-73.92557,1031148
289,268481,Condo in Brooklyn,0.0,0.00,1,40.7154,-73.94028,1380703
290,212109,Rental unit in New York,0.83,5.0,12,40.73814,-74.00811,666271
291,269283,Rental unit in Brooklyn,0.59,4.84,32,40.66385,-73.93229,1410714
292,212544,Rental unit in Brooklyn,0.0,4.67,9,40.67828,-73.98414,1096084
293,269404,Rental unit in Queens,1.0,4.71,19,40.76716,-73.91177,1411399
294,213330,Rental unit in New York,0.42,4.97,62,40.71724,-73.99054,800223
295,270139,Rental unit in Brooklyn,0.0,4.69,39,40.70413,-73.92726,1093220
296,270231,Rental unit in Queens,1.0,4.79,285,40.74496,-73.91167,1366310
297,214917,Guest suite in Staten Island,0.0,0.00,1,40.60742,-74.14388,1109658
298,216080,Home in Brooklyn,0.92,4.92,154,40.69062,-73.97354,17571
299,270315,Home in Brooklyn,1.0,4.76,18,40.68611,-73.93089,1398639
300,219066,Rental unit in Brooklyn,0.84,4.88,32,40.61943,-73.99232,447754
301,271694,Rental unit in New York,0.0,4.11,19,40.75282,-73.97315,1387370
302,219922,Townhouse in New York,0.24,4.75,36,40.81553,-73.95438,1139574
303,272026,Rental unit in New York,0.5,4.29,21,40.85754,-73.92887,1423613
304,272044,Loft in New York,0.95,4.79,101,40.72123,-73.98451,1195295
305,220563,Rental unit in Brooklyn,0.0,4.72,59,40.68788,-73.95014,918087
306,222304,Rental unit in New York,0.19,4.80,36,40.7401,-74.00019,1153993
307,274329,Rental unit in Queens,0.61,4.41,134,40.70749,-73.916,1434654
308,222913,Rental unit in New York,1.0,4.67,228,40.71254,-73.98352,1157620
309,274743,Rental unit in New York,0.88,0.00,1,40.77549,-73.95128,1436404
310,223930,Rental unit in Brooklyn,0.99,4.81,19,40.67319,-73.96804,1164642
311,274995,Rental unit in Brooklyn,0.49,4.50,8,40.66824,-73.9617,1437621
312,225354,Rental unit in Brooklyn,0.88,4.80,11,40.71085,-73.96672,1158300
313,225976,Rental unit in Staten Island,0.49,4.57,93,40.61019,-74.06757,1177947
314,275976,Guest suite in Brooklyn,0.65,4.71,240,40.68413,-73.93538,1417757
315,226021,Rental unit in Brooklyn,0.68,4.92,249,40.71137,-73.9465,815977
316,276021,Rental unit in Brooklyn,1.0,0.00,2,40.70937,-73.9657,1442346
317,227495,Rental unit in New York,0.1,4.58,103,40.78764,-73.97274,959931
318,276317,Rental unit in Brooklyn,0.99,4.87,184,40.67782,-73.97205,130901
319,227715,Rental unit in Brooklyn,1.0,4.60,258,40.6805,-73.94885,209460
320,228317,Rental unit in Brooklyn,0.99,4.90,92,40.68463,-73.92367,1191142
321,278090,Rental unit in New York,0.98,4.49,271,40.79241,-73.93805,1451723
322,278145,Rental unit in Queens,0.0,3.67,3,40.77128,-73.91939,1452026
323,228925,Home in Brooklyn,0.0,4.63,8,40.68098,-73.94023,1194377
324,278876,Rental unit in Brooklyn,0.0,0.00,0,40.66883,-73.95296,368528
325,230877,Rental unit in New York,0.27,4.90,121,40.79147,-73.94629,292204
326,231154,Home in Jamaica,0.0,4.18,31,40.67144,-73.76501,27848
327,279857,Home in Brooklyn,0.74,4.87,214,40.68607,-73.95536,1420300
328,232612,Townhouse in Brooklyn,0.53,4.86,489,40.68518847176618,-73.94268839549034,1217241
329,281521,Rental unit in New York,0.0,0.00,1,40.73853,-74.00292,70614
330,281756,Loft in Brooklyn,0.84,4.72,26,40.73243,-73.95716,1468658
331,232775,Rental unit in Brooklyn,0.0,5.0,4,40.72113,-73.95658,842156
332,233638,Rental unit in New York,1.0,4.74,24,40.70132,-73.90883,1012895
333,281851,Home in New York,0.86,4.93,141,40.8078,-73.95232,1469036
334,235552,Loft in Brooklyn,0.02,4.92,39,40.66386,-73.98519,1234405
335,282443,Rental unit in New York,0.0,4.74,69,40.7159,-73.99103,36897
336,235651,Rental unit in New York,0.91,4.88,85,40.74168,-74.00339,83257
337,283550,Rental unit in New York,0.0,4.70,10,40.75981,-73.99138,1476954
338,235951,Condo in New York,0.58,4.69,155,40.75408,-73.97071,1236070
339,286662,Rental unit in New York,0.22,4.84,345,40.67223,-73.95556,1491538
340,235960,Rental unit in New York,0.95,4.70,114,40.72113,-73.98442,1236817
341,286838,Home in New York,0.0,4.66,101,40.80748,-73.95589,1492339
342,236671,Home in Brooklyn,0.0,4.78,162,40.71732,-73.95561,1240820
343,287408,Rental unit in New York,0.16,4.93,74,40.76198,-73.99361,1495090
344,238683,Condo in Bronx,0.92,4.50,3,40.86749,-73.82214,1251372
345,287845,Rental unit in Brooklyn,0.97,4.98,129,40.67933,-73.995,1496847
346,239733,Guesthouse in Queens,0.85,4.87,56,40.77539,-73.91709,1256874
