BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,64,,A1,"544 BEACH 72ND STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,2367.0,1920.0,1,A1,0,2023-06-16,"40.5959263,-73.80075699999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16062,10,,A1,"74-23 HILLMEYER AVENUE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2000.0,1194.0,1940.0,1,A1,300000,2023-05-25,"40.597001,-73.80438099999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16065,41,,A9,"541 BEACH 72ND STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2012.0,1116.0,1960.0,1,A9,373867,2023-09-06,"40.5958832,-73.8011865"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,12,,A1,"341 BEACH 73RD STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,3000.0,1548.0,1920.0,1,A1,650000,2023-02-27,"40.5921209,-73.8016524"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,52,,A2,"326 BEACH 74TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2300.0,920.0,1920.0,1,A2,605000,2023-11-22,"40.5915668,-73.8021816"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16081,23,,A1,"333 BEACH 69TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,3000.0,2102.0,1920.0,1,A1,0,2023-03-21,"40.5917658,-73.79838269999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,,B2,"43-06 ROCKAWAY BEACH BLVD, NYC, QUEENS",,11691.0,2.0,0.0,2.0,3376.0,2460.0,2006.0,1,B2,1000,2023-02-24,"40.59394280000001,-73.7748361"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,,B2,"4306 ROCKAWAY BEACH BLVD, NYC, QUEENS",,11691.0,2.0,0.0,2.0,3376.0,2460.0,2006.0,1,B2,590000,2023-04-26,"40.59394280000001,-73.7748361"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15835,61,,B2,"339 BEACH 44TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,3431.0,2715.0,2022.0,1,B2,999000,2023-07-25,"40.5950229,-73.77589329999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15836,18,,B2,"44-06 ROCKAWAY BEACH BLVD, NYC, QUEENS",,11691.0,2.0,0.0,2.0,3348.0,2460.0,2006.0,1,B2,521344,2023-03-31,"40.59387479999999,-73.7757534"
