BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1756,61,,B1,"179 VERNON AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1875.0,2532.0,1899.0,1,B1,0,2023-06-20,"40.6953024,-73.94486549999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1756,68,,B1,"167A VERNON AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1875.0,2532.0,1899.0,1,B1,1750000,2023-05-31,"40.6952132,-73.9453247"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1757,17,,S2,"972 MYRTLE AVENUE, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,2075.0,3735.0,1931.0,1,S2,1850000,2023-08-28,"40.6959732,-73.9424848"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1757,49,,B1,"253 VERNON AVE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,2000.0,2520.0,1901.0,1,B1,1500000,2023-02-08,"40.6957109,-73.9414994"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1758,88,,B3,"445 WILLOUGHBY AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,2000.0,2520.0,1899.0,1,B3,10,2023-07-07,"40.6938007,-73.95172079999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1761,36,,S2,"100 MARCUS GARVEY BLVD, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,1597.0,3300.0,1931.0,1,S2,0,2023-10-12,"40.6954157,-73.94082399999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1762,28,,B3,"915 BEDFORD AVENUE, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,2000.0,3360.0,1901.0,1,B3,2000000,2023-04-21,"40.6925716,-73.9555334"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1762,61,,B3,"222 SPENCER STREET, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,1700.0,3312.0,1901.0,1,B3,0,2023-03-20,"40.6917759,-73.954802"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1762,70,,B9,"236 SPENCER STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1250.0,2000.0,1901.0,1,B9,1825000,2023-02-24,"40.691289,-73.95479399999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1762,71,,B9,"236A SPENCER STREET, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,1250.0,2000.0,1901.0,1,B9,1825000,2023-02-24,"40.691255,-73.954787"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1763,5,,B3,"219 SPENCER STREET, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,2550.0,2112.0,1901.0,1,B3,3000000,2023-03-23,"40.6916087,-73.95443540000001"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1763,35,,B3,"404 WILLOUGHBY AVENUE, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,1440.0,1728.0,1901.0,1,B3,0,2023-01-09,"40.6930332,-73.9542785"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1763,48,,B1,"212 WALWORTH STREET, NYC, BROOKLYN",,11205.0,2.0,0.0,2.0,2000.0,4385.0,2017.0,1,B1,995000,2023-04-27,"40.692229,-73.9540066"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,6,,S2,"617 MARCY AVENUE, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,2000.0,2100.0,1931.0,1,S2,0,2023-03-13,"40.6936734,-73.9486798"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,28,,B2,"556 WILLOUGHBY AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,2000.0,2400.0,1910.0,1,B2,0,2023-05-31,"40.6939149,-73.9471185"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,47,,B1,"125 HART STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1500.0,3412.0,2016.0,1,B1,0,2023-09-13,"40.6936059,-73.9463722"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1767,52,,B1,"117 HART STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,2500.0,2500.0,2001.0,1,B1,2600000,2023-07-11,"40.6935988,-73.946797"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1768,9,,S2,"153 TOMPKINS AVE, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,1600.0,3464.0,1931.0,1,S2,1210000,2023-11-29,"40.6940909,-73.9458441"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1768,15,,B1,"598 WILLOUGHBY AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1667.0,2100.0,1910.0,1,B1,1700000,2023-05-11,"40.6940854,-73.945317"
